Key,Source,Context,Changes,English,Spanish
perkLivingOffTheLandDesc,progression,Perk,New,"Specialize in harvesting more crops using your hands or a tool. Learn to fish and create fishing tools.","Especialízate en recoletar más cultivos con tus manos o una herramienta. Aprende a pescar y crea herramientas de pesca."
perkLivingOffTheLandRank1LongDesc,progression,Perk,New,"Harvest 2 items from wild or planted crops. Craft seeds for flowers and decorative plants like goldenrod, chrysanthemum, aloe, and yucca.\nFarm plots cost 30% less to craft. Craft fishing rods.","Recolecta 2 objetos de cultivos silvestres o plantados. Elabora semillas para flores y plantas decorativas como vara de oro, crisantemo, aloe y yuca.\nLas parcelas cuestan un 30% menos para crearlas. Crea cañas de pescar."
perkLivingOffTheLandRank2LongDesc,progression,Perk,New,"You can craft seeds for berries and vegetables.\nFarm plots cost 50% less to craft. Craft fine fishing rods.","Puedes elaborar semillas para Bayas y Verduras.\nLas parcelas cuestan un 50% para crearlas. Crea cañas de pescar buenas."
perkLivingOffTheLandRank3LongDesc,progression,Perk,New,"Harvest 3 items from wild or planted crops. Craft fishing traps.","Recolecta 2 objetos de cultivos silvestres o plantados. Crea trampas de pesca."
perkMasterChefRank1LongDesc,progression,Perk,New,"Cooking is not your thing but you know some basics. Unlocks basic recipes such as bacon and eggs, boiled and grilled meats and fish, baked potatoes, cornbread, teas and coffee. Cook 10% faster.","Cocinar no es lo tuyo pero sabes lo básico. Desbloquea algunas recetas basicas como bacon y huevos, carne y pescado cocido y a la parrilla, patatas asadas, pan de maíz, té y café. Cocina un 10% más rápido."
perkMasterChefRank2LongDesc,progression,Perk,New,"Just like grandma used to make, tasty hearty meals that fill you up for days. Craft steak and potatoes, prepared sushi, fish soup, meat stew, vegetable stew, blueberry pie and several pumpkin dishes. Cook 20% faster.","Casi como tu abuela te lo hacía, con cariño y rica que te llena para todo el día. Crea carne y patatas, sushi, sopa de pescado, guiso de carne, guiso de verduras, pastel de arándanos y algunos platos de calabazas. Cocina un 20% más rápido."
perkMasterChefRank4LongDesc,progression,Perk,New,"Cook for an army by making Gumbo Stew, Shepards Pie, Spaghetti and Tuna Gravy on Toast. Ferment vinegar and make pickled fish. Cook 40% faster. Use 20% less of a recipe's main ingredients.","Cocina para un ejército haciendo Guisado de Ternera, Pastel de Pastores, Spaghetti y Salsa de Atún en Tostada. Vinagre fermentado y hacer pescado en escabeche. Cocina un 40% más rápido. Usa un 20% menos de ingredientes en las recetas principales."
perkMasterChefRank5LongDesc,progression,Perk,New,"Grandpa's ass kicking recipes.\nLearn grandpa's secret recipes that boost stats and attributes! Make a mean fish-and-chips dish. Cook 50% faster.","Las mejores recetas del Abuelo.\n¡Aprende las recetas secretas del abuelo que aumentan tus estadísticas y atributos! Crea pescado con patatas fritas. Cocina un 50% más rápido."
foodFishTacos,items,Food,New,Fish Tacos [ccba8b](Canned)[-],Tacos de Pescado [ccba8b](Enlatado)[-]
foodFishTacosDesc,items,Food,"New,Made from canned salmon. Who wants to live off the land when it's taco Tuesday? Or is this Thursday?","Nuevo, hecho con salmón enlatado ¿Quien quiere vivir de la tierra cuando es Martes de Tacos?"
foodFishTacosSchematic,items,Food,New,Fish Tacos [ccba8b](Canned)[-] Recipe,Esquema de Tacos de pescado [ccba8b](Enlatado)[-]
Fishing Spear,items,Tool,KgNone,Fishing Spear,Lanza de pescar
fishingSpearDesc,items,Tool,KgNone,"This fishing spear is crude, but will get the job done.  Right-click on natural water to fish.","Esta lanza de pesca es cutre, pero te sirve para hacer el trabajo."
#NOTE#,,,KgNone,FISHING SPEAR FULL -- unused now
Fishing Spear Full,items,Tool,KgNone,Fishing Spear,Caña de Pescar
fishingSpearFullDesc,items,Tool,KgNone,"You caught something!  Right-click the ground to place it into a block and take a look (destroy the block once you place it).","¡Has capturado algo! Click derecho en la tierra para colocarlo en un bloque y echar un vistazo (Destruye el bloque una vez que lo coloques)."
#NOTE#,,,KgNone,FISHING SPEAR FULL -- unused now
Fishing Rod,items,Tool,KgNone,Fishing Rod,Caña de Pescar
fishingRodDesc,items,Tool,KgNone,"This fishing rod is a long, flexible pole used to catch fish.  Right-click on natural water to fish.","Esta caña de pescar es larga, caña flexible usada para pescar. Click derecho en agua natural para pescar."
Fishing Rod Full,items,Tool,KgNone,Fishing Rod,Caña de Pescar
fishingRodFullDesc,items,Tool,KgNone,"You caught something!  Right-click the ground to place it into a block and take a look (destroy the block once you place it).","¡Has capturado algo! Click derecho en la tierra para colocarlo en un bloque y echar un vistazo (Destruye el bloque una vez que lo coloques)."
Fine Fishing Rod,items,Tool,KgNone,Fine Fishing Rod,Caña de Pescar Buena
fineFishingRodDesc,items,Tool,KgNone,"This fine fishing rod is a long, flexible pole used to catch lots of fish.  Right-click on natural water to fish.","Esta caña de pescar buena es larga, caña flexible usada para pescar. Click derecho en agua natural para pescar."
Fine Fishing Rod Full,items,Tool,KgNone,Fine Fishing Rod,Caña de Pescar Buena
fineFishingRodFullDesc,items,Tool,KgNone,"You caught something!  Right-click the ground to place it into a block and take a look (destroy the block once you place it).","¡Has capturado algo! Click derecho en la tierra para colocarlo en un bloque y echar un vistazo (Destruye el bloque una vez que lo coloques)."
Raw Fish,items,Item Food,KgNone,Raw Fish,Pescado Crudo
rawFishDesc,items,Item Food,KgNone,"Fish can be eaten raw or cut into prepared sushi, but is better when cooked at campfire or pickled in vinegar.","El pescado puede ser consumido crudo o cortado, pero es mejor cuando se cocina en una hoguera o se conserva en vinagre."
Prawn,items,Item Food,KgNone,Prawn,Gamba
prawnDesc,items,Item Food,KgNone,"Prawn are large, meaty shrimp found in freshwater and can be eaten raw but are better when cooked at a campfire.","Las Gambas son grandes, camarones carnosos que se encuentran en agua dulce y se pueden comer crudos, pero es mejor cuando se cocinan en una hoguera."
Rotten Fish,items,Food,New,Rotten Fish,Pescado Podrido
rottenFishDesc,items,Food,New,"It's disgusting, but you can scrap it into rotten flesh at least.","Es asqueroso, pero al menos puedes desguazarlo en carne podrida."
Grilled Fish,items,Item Food,KgNone,Grilled Fish,Pescado Asado
grilledFishDesc,items,Item Food,KgNone,"Tasty grilled fish, mmmm!","¡Pescado asado rico, mmmm!"
Boiled Fish,items,Item Food,KgNone,Boiled Fish,Pescado Hervido
boiledFishDesc,items,Item Food,KgNone,"Palatable boiled fish.  It's not great, but it's not horrible either.","Pescado hervido sabroso. El pescado hervido no es malo, no es bueno, pero tampoco es malo."
Charred Fish,items,Item Food,KgNone,Charred Fish,Pescado Quemado
charredFishDesc,items,Item Food,KgNone,"Not-so-tasty charred fish; it will do, I guess.","Así no eh, así no, becarios no."
Prepared Sushi,items,Item Food,KgNone,Prepared Sushi,Sushi Preparado
preparedSushiDesc,items,Item Food,KgNone,"There's some chance to get sick from raw sushi, but with careful preparation the chances are significantly lower.","Hay una posibilidad de enfermar con el sushi crudo, pero con preparación cuidadosa esas posibilidades son significativamente pequeñas."
Charred Prawns,items,Item Food,KgNone,Charred Prawns,Gambas Quemadas
charredPrawnsDesc,items,Item Food,KgNone,"Charred prawns.  You did your best, but they still burned a bit.","Gambas Quemadas.  Os habéis esforzado ¿Y para qué? Para hacer el ridículo, la moraleja es: No os esforcéis..."
Boiled Prawns,items,Item Food,KgNone,Boiled Prawns,Gambas Cocidas
boiledPrawnsDesc,items,Item Food,KgNone,"Boiled prawns.  It's not great, but it's not horrible either.","Gambas cocidas. Las gambas cocidas no son malas, no son buenas, pero tampoco son malas."
Grilled Prawns,items,Item Food,KgNone,Grilled Prawns,Gambas Asadas
grilledPrawnsDesc,items,Item Food,KgNone,"Tasty grilled prawns, mmmm!","¡Sabrosas gambas asadas, mmm!"
Vinegar,items,Item Food,KgNone,Vinegar,Vinagre
vinegarDesc,items,Item Food,KgNone,"This vinegar is ideal for serving with fish and chips or even pickling fish.","Este vinagre es ideal para servir con pescado y patatas fritas o incluso pescado con escabeche."
Fish Tacos (Fresh),items,Item Food,KgNone,Fish Tacos [a0ff94](Fresh)[-],Tacos de pescado [a0ff94](Fresco)[-]
fishTacosFreshDesc,items,Item Food,KgNone,"Fresh fish tacos are a great meal, delicious and nutritious!","¡Los tacos de pescado frescos son una gran comida, deliciosa y nutritiva!"
Surf and Turf,items,Item Food,KgNone,Surf and Turf,Mar y Tierra
surfAndTurfDesc,items,Item Food,KgNone,"A bit of red meat and seafood pair very well together.","Un poco de carne y pescado mixtos."
Pickled Fish,items,Item Food,KgNone,Pickled Fish,Pescado en Vinagre
pickledFishDesc,items,Item Food,KgNone,"Preserved and seasoned with vinegar, this makes for a terrific meal.","Reservado y sazonado con vinagre, esto lo convierte en una comida excelente."
Fish Soup,items,Item Food,KgNone,Fish Soup,Sopa de Pescado
fishSoupDesc,items,Item Food,KgNone,"Delectable fish soup, mmmm!","¡Deliciosa ropa de pescado, mmmm!"
Fish and Chips,items,Item Food,KgNone,Fish and Chips,Pescado y Patatas fritas
fishAndChipsDesc,items,Item Food,KgNone,"Some fried fish and potatoes served with vinegar.  Very nice!","Un poco de pescado y patatas fritas servidas con vinagre. ¡Muy bien!"
fishTrapItemSchematic,items,Tool,New,Fish Trap Schematic,Esquema de Trampa para Peces
fishingRodSchematic,items,Tool,New,Fishing Rod Schematic,Esquema de Caña de Pescar
fineFishingRodSchematic,items,Tool,New,Fine Fishing Rod Schematic,Esquema de Caña de Pescar Buena
foodVinegarSchematic,items,Food,New,Vinegar Recipe,Receta de Vinagre
foodFishTacosFreshSchematic,items,Food,New,Fish Tacos [a0ff94](Fresh)[-] Recipe,Receta de Tacos de pescado [a0ff94](Fresco)[-]
foodFishSoupSchematic,items,Food,New,Fish Soup Recipe,Receta de Sopa de Pescado
